pid,timestamp,STEP#count#weekdays_morning,STEP#count#weekdays_afternoon,STEP#count#weekdays_evening,STEP#count#weekdays_night,STEP#count#weekends_morning,STEP#count#weekends_afternoon,STEP#count#weekends_evening,STEP#count#weekends_night
6,2021-08-18,22.0,,,,,,,
6,2021-08-18,,50.0,,,,,,
6,2021-08-18,,,741.0,,,,,
6,2021-08-19,878.0,,,,,,,
6,2021-08-19,,161.0,,,,,,
6,2021-08-19,,,892.0,,,,,
6,2021-08-20,136.0,,,,,,,
6,2021-08-20,,127.0,,,,,,
6,2021-08-20,,,181.0,,,,,
6,2021-08-21,,,,,643.0,,,
6,2021-08-21,,,,,,203.0,,
6,2021-08-21,,,,,,,18.0,
6,2021-08-22,,,,,68.0,,,
6,2021-08-22,,,,,,125.0,,
6,2021-08-22,,,,,,,11.0,
6,2021-08-22,,,,,,,,447.0
6,2021-08-23,120.0,,,,,,,
6,2021-08-23,,85.0,,,,,,
6,2021-08-23,,,777.0,,,,,
6,2021-08-24,648.0,,,,,,,
6,2021-08-24,,67.0,,,,,,
6,2021-08-24,,,738.0,,,,,
6,2021-08-25,154.0,,,,,,,
6,2021-08-25,,153.0,,,,,,
6,2021-08-25,,,494.0,,,,,
6,2021-08-26,86.0,,,,,,,
6,2021-08-26,,308.0,,,,,,
6,2021-08-26,,,74.0,,,,,
6,2021-08-28,,,,,,3.0,,
6,2021-08-29,,,,,240.0,,,
6,2021-08-29,,,,,,155.0,,
6,2021-08-30,199.0,,,,,,,
6,2021-08-30,,211.0,,,,,,
6,2021-08-30,,,886.0,,,,,
6,2021-08-31,81.0,,,,,,,
6,2021-08-31,,113.0,,,,,,
6,2021-08-31,,,710.0,,,,,
6,2021-09-01,,533.0,,,,,,
6,2021-09-01,,,703.0,,,,,
6,2021-09-04,,,,,120.0,,,
6,2021-09-04,,,,,,556.0,,
6,2021-09-04,,,,,,,1590.0,
6,2021-09-05,,,,,66.0,,,
6,2021-09-05,,,,,,33.0,,
6,2021-09-05,,,,,,,,120.0
6,2021-09-06,145.0,,,,,,,
6,2021-09-06,,167.0,,,,,,
6,2021-09-06,,,3896.0,,,,,
6,2021-09-07,1703.0,,,,,,,
6,2021-09-07,,51.0,,,,,,
6,2021-09-07,,,881.0,,,,,
6,2021-09-08,803.0,,,,,,,
6,2021-09-08,,126.0,,,,,,
6,2021-09-08,,,678.0,,,,,
6,2021-09-09,596.0,,,,,,,
6,2021-09-09,,201.0,,,,,,
6,2021-09-09,,,417.0,,,,,
6,2021-09-09,,,,127.0,,,,
6,2021-09-10,781.0,,,,,,,
6,2021-09-10,,152.0,,,,,,
6,2021-09-10,,,71.0,,,,,
6,2021-09-11,,,,,,,2.0,
6,2021-09-11,,,,,,,,179.0
6,2021-09-12,,,,,,891.0,,
6,2021-09-12,,,,,,,448.0,
6,2021-09-12,,,,,,,,202.0
6,2021-09-13,139.0,,,,,,,
6,2021-09-13,,154.0,,,,,,
6,2021-09-13,,,760.0,,,,,
6,2021-09-14,10.0,,,,,,,
6,2021-09-14,,210.0,,,,,,
6,2021-09-14,,,1250.0,,,,,
6,2021-09-15,302.0,,,,,,,
6,2021-09-15,,164.0,,,,,,
6,2021-09-15,,,515.0,,,,,
6,2021-09-16,108.0,,,,,,,
6,2021-09-16,,255.0,,,,,,
6,2021-09-16,,,1378.0,,,,,
6,2021-09-17,100.0,,,,,,,
6,2021-09-17,,499.0,,,,,,
6,2021-09-17,,,206.0,,,,,
6,2021-09-18,,,,,174.0,,,
6,2021-09-18,,,,,,,,58.0
6,2021-09-19,,,,,,98.0,,
6,2021-09-19,,,,,,,68.0,
6,2021-09-20,53.0,,,,,,,
6,2021-09-20,,13.0,,,,,,
6,2021-09-20,,,23.0,,,,,
6,2021-09-20,,,,424.0,,,,
6,2021-09-21,1.0,,,,,,,
6,2021-09-21,,348.0,,,,,,
6,2021-09-21,,,4.0,,,,,
6,2021-09-22,3.0,,,,,,,
6,2021-09-22,,173.0,,,,,,
6,2021-09-22,,,6.0,,,,,
6,2021-09-23,425.0,,,,,,,
6,2021-09-23,,62.0,,,,,,
6,2021-09-23,,,1048.0,,,,,
6,2021-09-24,74.0,,,,,,,
6,2021-09-24,,618.0,,,,,,
6,2021-09-24,,,381.0,,,,,
6,2021-09-25,,,,,5.0,,,
6,2021-09-25,,,,,,301.0,,
6,2021-09-25,,,,,,,6.0,
6,2021-09-26,,,,,,,,3.0
6,2021-09-27,61.0,,,,,,,
6,2021-09-27,,97.0,,,,,,
6,2021-09-27,,,839.0,,,,,
6,2021-09-28,68.0,,,,,,,
6,2021-09-28,,139.0,,,,,,
6,2021-09-28,,,647.0,,,,,
6,2021-09-29,462.0,,,,,,,
6,2021-09-29,,50.0,,,,,,
6,2021-09-29,,,1820.0,,,,,
6,2021-09-30,959.0,,,,,,,
6,2021-09-30,,660.0,,,,,,
6,2021-09-30,,,,56.0,,,,
6,2021-10-01,41.0,,,,,,,
6,2021-10-01,,204.0,,,,,,
6,2021-10-01,,,235.0,,,,,
6,2021-10-02,,,,,843.0,,,
6,2021-10-02,,,,,,213.0,,
6,2021-10-02,,,,,,,,137.0
6,2021-10-03,,,,,,282.0,,
6,2021-10-03,,,,,,,806.0,
6,2021-10-04,,265.0,,,,,,
6,2021-10-04,,,17.0,,,,,
6,2021-10-04,,,,206.0,,,,
6,2021-10-05,1544.0,,,,,,,
6,2021-10-05,,189.0,,,,,,
6,2021-10-05,,,1309.0,,,,,
6,2021-10-06,1268.0,,,,,,,
6,2021-10-06,,202.0,,,,,,
6,2021-10-06,,,1075.0,,,,,
6,2021-10-07,1311.0,,,,,,,
6,2021-10-07,,166.0,,,,,,
6,2021-10-07,,,3791.0,,,,,
6,2021-10-07,,,,72.0,,,,
6,2021-10-08,1393.0,,,,,,,
6,2021-10-08,,139.0,,,,,,
6,2021-10-08,,,896.0,,,,,
6,2021-10-10,,,,,,321.0,,
6,2021-10-10,,,,,,,10.0,
6,2021-10-12,1274.0,,,,,,,
6,2021-10-12,,275.0,,,,,,
