pid,timestamp,UNLOCK_STATE#unlock_count#weekdays_morning,UNLOCK_STATE#total_duration#weekdays_morning,UNLOCK_STATE#unlock_count#weekdays_afternoon,UNLOCK_STATE#total_duration#weekdays_afternoon,UNLOCK_STATE#unlock_count#weekdays_evening,UNLOCK_STATE#total_duration#weekdays_evening,UNLOCK_STATE#unlock_count#weekdays_night,UNLOCK_STATE#total_duration#weekdays_night,UNLOCK_STATE#unlock_count#weekends_morning,UNLOCK_STATE#total_duration#weekends_morning,UNLOCK_STATE#unlock_count#weekends_afternoon,UNLOCK_STATE#total_duration#weekends_afternoon,UNLOCK_STATE#unlock_count#weekends_evening,UNLOCK_STATE#total_duration#weekends_evening,UNLOCK_STATE#unlock_count#weekends_night,UNLOCK_STATE#total_duration#weekends_night
6,2021-08-18,,,10.0,8026.177999999999,,,,,,,,,,,,
6,2021-08-18,,,,,7.0,12027.242,,,,,,,,,,
6,2021-08-19,42.0,12728.003999999999,,,,,,,,,,,,,,
6,2021-08-19,,,20.0,12880.313,,,,,,,,,,,,
6,2021-08-19,,,,,44.0,36883.653,,,,,,,,,,
6,2021-08-20,10.0,10541.408,,,,,,,,,,,,,,
6,2021-08-20,,,15.0,14146.99,,,,,,,,,,,,
6,2021-08-20,,,,,8.0,14400.499,,,,,,,,,,
6,2021-08-21,,,,,,,,,27.0,4855.826,,,,,,
6,2021-08-21,,,,,,,,,,,32.0,4493.421,,,,
6,2021-08-21,,,,,,,,,,,,,44.0,1188.041,,
6,2021-08-22,,,,,,,,,9.0,12469.526,,,,,,
6,2021-08-22,,,,,,,,,,,25.0,8571.162,,,,
6,2021-08-22,,,,,,,,,,,,,7.0,53962.428,,
6,2021-08-22,,,,,,,,,,,,,,,14.0,1353.8619999999999
6,2021-08-23,6.0,4861.418,,,,,,,,,,,,,,
6,2021-08-23,,,8.0,17110.574,,,,,,,,,,,,
6,2021-08-23,,,,,12.0,6558.753000000001,,,,,,,,,,
6,2021-08-24,26.0,9556.641000000001,,,,,,,,,,,,,,
6,2021-08-24,,,18.0,10750.269,,,,,,,,,,,,
6,2021-08-24,,,,,72.0,48009.130000000005,,,,,,,,,,
6,2021-08-24,,,,,,,1.0,8373.656,,,,,,,,
6,2021-08-25,8.0,5739.784,,,,,,,,,,,,,,
6,2021-08-25,,,6.0,17972.203,,,,,,,,,,,,
6,2021-08-25,,,,,14.0,2625.816,,,,,,,,,,
6,2021-08-26,13.0,14087.778999999999,,,,,,,,,,,,,,
6,2021-08-26,,,19.0,12972.669,,,,,,,,,,,,
6,2021-08-26,,,,,8.0,5664.973,,,,,,,,,,
6,2021-08-28,,,,,,,,,,,5.0,163.272,,,,
6,2021-08-28,,,,,,,,,,,,,18.0,12972.679,,
6,2021-08-29,,,,,,,,,11.0,5804.938,,,,,,
6,2021-08-29,,,,,,,,,,,11.0,3193.172,,,,
6,2021-08-30,5.0,9227.9,,,,,,,,,,,,,,
6,2021-08-30,,,13.0,16378.659000000001,,,,,,,,,,,,
6,2021-08-30,,,,,41.0,5647.171,,,,,,,,,,
6,2021-08-31,5.0,2706.43,,,,,,,,,,,,,,
6,2021-08-31,,,9.0,11575.787,,,,,,,,,,,,
6,2021-08-31,,,,,12.0,541.8019999999999,,,,,,,,,,
6,2021-09-01,2.0,36.873999999999995,,,,,,,,,,,,,,
6,2021-09-01,,,16.0,3785.115,,,,,,,,,,,,
6,2021-09-01,,,,,14.0,88212.271,,,,,,,,,,
6,2021-09-04,,,,,,,,,11.0,2090.256,,,,,,
6,2021-09-04,,,,,,,,,,,18.0,11226.112,,,,
6,2021-09-04,,,,,,,,,,,,,38.0,2430.599,,
6,2021-09-05,,,,,,,,,1.0,4373.972,,,,,,
6,2021-09-05,,,,,,,,,,,6.0,12891.027999999998,,,,
6,2021-09-05,,,,,,,,,,,,,1.0,1484.944,,
6,2021-09-05,,,,,,,,,,,,,,,6.0,738.742
6,2021-09-06,5.0,6077.335,,,,,,,,,,,,,,
6,2021-09-06,,,12.0,18588.573,,,,,,,,,,,,
6,2021-09-06,,,,,19.0,12055.749,,,,,,,,,,
6,2021-09-07,21.0,8598.467999999999,,,,,,,,,,,,,,
6,2021-09-07,,,11.0,13629.654,,,,,,,,,,,,
6,2021-09-07,,,,,13.0,29868.917,,,,,,,,,,
6,2021-09-07,,,,,,,0.0,0.0,,,,,,,,
6,2021-09-08,22.0,11653.759999999998,,,,,,,,,,,,,,
6,2021-09-08,,,12.0,15690.164999999999,,,,,,,,,,,,
6,2021-09-08,,,,,65.0,5119.409,,,,,,,,,,
6,2021-09-09,9.0,12770.857,,,,,,,,,,,,,,
6,2021-09-09,,,15.0,16300.363000000001,,,,,,,,,,,,
6,2021-09-09,,,,,9.0,15756.603,,,,,,,,,,
6,2021-09-09,,,,,,,4.0,594.982,,,,,,,,
6,2021-09-10,16.0,7593.296,,,,,,,,,,,,,,
6,2021-09-10,,,15.0,12602.044,,,,,,,,,,,,
6,2021-09-10,,,,,47.0,5264.691,,,,,,,,,,
6,2021-09-10,,,,,,,0.0,0.0,,,,,,,,
6,2021-09-11,,,,,,,,,,,,,6.0,490.48299999999995,,
6,2021-09-11,,,,,,,,,,,,,,,19.0,883.1469999999999
6,2021-09-12,,,,,,,,,5.0,11080.561,,,,,,
6,2021-09-12,,,,,,,,,,,35.0,6305.625,,,,
6,2021-09-12,,,,,,,,,,,,,27.0,11992.83,,
6,2021-09-12,,,,,,,,,,,,,,,9.0,4044.9829999999997
6,2021-09-13,19.0,3930.599,,,,,,,,,,,,,,
6,2021-09-13,,,16.0,13726.423999999999,,,,,,,,,,,,
6,2021-09-13,,,,,8.0,50624.971000000005,,,,,,,,,,
6,2021-09-13,,,,,,,0.0,0.0,,,,,,,,
6,2021-09-14,9.0,7379.4,,,,,,,,,,,,,,
6,2021-09-14,,,17.0,14806.166000000001,,,,,,,,,,,,
6,2021-09-14,,,,,14.0,7041.522000000001,,,,,,,,,,
6,2021-09-15,11.0,4805.133,,,,,,,,,,,,,,
6,2021-09-15,,,19.0,15677.916,,,,,,,,,,,,
6,2021-09-15,,,,,9.0,8539.251,,,,,,,,,,
6,2021-09-16,14.0,2870.5739999999996,,,,,,,,,,,,,,
6,2021-09-16,,,25.0,8056.929,,,,,,,,,,,,
6,2021-09-16,,,,,25.0,7360.625,,,,,,,,,,
6,2021-09-17,17.0,5954.155,,,,,,,,,,,,,,
6,2021-09-17,,,27.0,8115.309,,,,,,,,,,,,
6,2021-09-17,,,,,63.0,1970.603,,,,,,,,,,
6,2021-09-18,,,,,,,,,16.0,4392.933,,,,,,
6,2021-09-18,,,,,,,,,,,,,7.0,17052.554,,
6,2021-09-18,,,,,,,,,,,,,,,7.0,6924.125
6,2021-09-19,,,,,,,,,,,8.0,5987.472,,,,
6,2021-09-19,,,,,,,,,,,,,68.0,7975.072999999999,,
6,2021-09-19,,,,,,,,,,,,,,,0.0,0.0
6,2021-09-20,7.0,3053.773,,,,,,,,,,,,,,
