pid,timestamp,ACTIVITY#RUNNING_count#4HR,ACTIVITY#RUNNING_duration#4HR,ACTIVITY#RUNNING_proportion#4HR,ACTIVITY#ON_BICYCLE_count#4HR,ACTIVITY#ON_BICYCLE_duration#4HR,ACTIVITY#ON_BICYCLE_proportion#4HR,ACTIVITY#IN_VEHICLE_count#4HR,ACTIVITY#IN_VEHICLE_duration#4HR,ACTIVITY#IN_VEHICLE_proportion#4HR,ACTIVITY#WALKING_count#4HR,ACTIVITY#WALKING_duration#4HR,ACTIVITY#WALKING_proportion#4HR,ACTIVITY#STILL_count#4HR,ACTIVITY#STILL_duration#4HR,ACTIVITY#STILL_proportion#4HR
6,2021-08-20 12:00:35.909000+09:00,0,0.0,0.0,0,0.0,0.0,1,1194.955,0.25,1,7.717,0.25,2,14400.0,0.5
6,2021-08-20 16:00:50.097000+09:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,7803.458,1.0
6,2021-08-20 20:00:38.884000+09:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,14388.786999999998,1.0
6,2021-08-23 12:00:30.315000+09:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,7823.046,1.0
6,2021-08-23 16:00:37.721000+09:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,14400.0,1.0
6,2021-08-23 20:00:57.442000+09:00,0,0.0,0.0,0,0.0,0.0,1,2509.205,0.16666666666666666,2,2320.49,0.3333333333333333,3,2070.036,0.5
6,2021-08-26 12:00:49.929000+09:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,10330.752,1.0
6,2021-08-26 16:10:12.979000+09:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,511.867,0.25,3,14400.0,0.75
6,2021-08-29 10:00:52.708000+09:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
6,2021-08-29 14:02:33.617000+09:00,0,0.0,0.0,0,0.0,0.0,4,6053.459999999999,0.4,3,2538.7790000000005,0.3,3,2020.133,0.3
6,2021-08-29 18:00:27.743000+09:00,0,0.0,0.0,0,0.0,0.0,2,14274.126,1.0,0,0.0,0.0,0,0.0,0.0
6,2021-09-01 10:26:50.709000+09:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
6,2021-09-01 14:23:10.563000+09:00,0,0.0,0.0,0,0.0,0.0,2,13962.776,0.5,0,0.0,0.0,2,211.67600000000002,0.5
6,2021-09-01 18:01:40.953000+09:00,0,0.0,0.0,0,0.0,0.0,1,1685.5020000000004,0.16666666666666666,2,4265.481,0.3333333333333333,3,7159.407,0.5
6,2021-09-04 10:08:27.567000+09:00,0,0.0,0.0,0,0.0,0.0,1,229.913,1.0,0,0.0,0.0,0,0.0,0.0
6,2021-09-04 14:00:56.412000+09:00,0,0.0,0.0,0,0.0,0.0,2,4162.895,0.2857142857142857,1,2911.689,0.14285714285714285,4,7104.174,0.5714285714285714
6,2021-09-04 18:03:17.624000+09:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,590.02,0.2,4,13951.192,0.8
6,2021-09-07 10:01:17.259000+09:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,995.191,0.5,1,4670.08,0.5
6,2021-09-07 14:00:38.511000+09:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,14361.252,1.0
6,2021-09-07 18:00:31.508000+09:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,14400.0,1.0
6,2021-09-10 10:14:24.916000+09:00,0,0.0,0.0,0,0.0,0.0,1,1224.921,0.25,2,1687.47,0.5,1,4941.064,0.25
6,2021-09-10 14:01:53.146000+09:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,389.747,0.3333333333333333,4,13258.483,0.6666666666666666
6,2021-09-10 18:55:05.097000+09:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,14400.0,1.0
6,2021-09-13 10:00:54.595000+09:00,0,0.0,0.0,0,0.0,0.0,1,1950.183,0.2,1,1525.477,0.2,3,4006.974,0.6
6,2021-09-13 14:06:09.193000+09:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,622.245,0.3333333333333333,2,14092.353000000001,0.6666666666666666
6,2021-09-13 18:06:58.054000+09:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,14400.0,1.0
6,2021-09-16 10:00:39.984000+09:00,0,0.0,0.0,0,0.0,0.0,1,2213.325,0.25,1,985.313,0.25,2,3968.9120000000003,0.5
