pid,platform
6,Android
14,Android
20,Android
21,Android
26,Android
28,Android
30,Android
36,Android
37,Android
39,Android
40,Android
42,Android
45,Android
46,Android
49,Android
52,Android
53,Android
55,Android
56,Android
57,Android
60,Android
61,Android
62,Android
63,Android
64,Android
65,Android
66,Android
67,Android
68,Android
69,Android
70,Android
71,Android
72,Android
73,Android
75,Android
77,Android
78,Android
79,Android
80,Android
81,Android
82,Android
83,Android
84,Android
85,Android
88,Android
90,Android
91,Android
94,Android
95,Android
96,Android
97,Android
98,Android
99,Android
103,Android
104,Android
105,Android
106,Android
110,Android
114,Android
119,Android
123,Android
125,Android
127,Android
128,Android
129,Android
133,Android
134,Android
135,Android
136,Android
137,Android
139,Android
149,Android
152,Android
153,Android
156,Android
158,Android
163,Android
166,Android
173,Android
174,Android
175,Android
176,Android
177,Android
181,Android
183,Android
185,Android
187,Android
188,Android
189,Android
191,Android
193,Android
197,Android
200,Android
202,Android
205,Android
207,Android
212,Android
213,Android
215,Android
216,Android
218,Android
222,Android
224,Android
229,Android
234,Android
235,Android
236,Android
237,Android
243,Android
244,Android
246,Android
247,Android
248,Android
251,Android
253,Android
255,Android
260,Android
262,Android
266,Android
271,Android
273,Android
275,Android
276,Android
280,Android
281,Android
284,Android
288,Android
292,Android
294,Android
295,Android
318,Android
328,Android
331,Android
334,Android
335,Android
336,Android
337,Android
338,Android
340,Android
344,Android
345,Android
346,Android
347,Android
348,Android
349,Android
353,Android
354,Android
355,Android
356,Android
358,Android
359,Android
360,Android
370,Android
372,Android
375,Android
377,Android
380,Android
381,Android
382,Android
388,Android
391,Android
396,Android
397,Android
400,Android
405,Android
408,Android
409,Android
411,Android
417,Android
421,Android
426,Android
430,Android
431,Android
435,Android
444,Android
449,Android
451,Android
454,Android
455,Android
462,Android
463,Android
466,Android
470,Android
471,Android
472,Android
475,Android
478,Android
481,Android
483,Android
502,Android
505,Android
506,Android
507,Android
510,Android
522,Android
523,Android
536,Android
540,Android
543,Android
544,Android
546,Android
553,Android
556,Android
557,Android
559,Android
563,Android
566,Android
567,Android
570,Android
572,Android
573,Android
574,Android
579,Android
580,Android
583,Android
584,Android
585,Android
586,Android
588,Android
593,Android
595,Android
596,Android
597,Android
598,Android
599,Android
600,Android
603,Android
604,Android
614,Android
617,Android
618,Android
619,Android
620,Android
624,Android
625,Android
631,Android
633,Android
644,Android
646,Android
648,Android
650,Android
655,Android
656,Android
664,Android
667,Android
668,Android
672,Android
685,Android
687,Android
688,Android
691,Android
692,Android
694,Android
698,Android
700,Android
704,Android
713,Android
715,Android
720,Android
729,Android
733,Android
737,Android
738,Android
741,Android
742,Android
747,Android
754,Android
758,Android
759,Android
761,Android
765,Android
769,Android
771,Android
786,Android
788,Android
797,Android
802,Android
805,Android
808,Android
809,Android
813,Android
825,Android
832,Android
837,Android
839,Android
844,Android
846,Android
849,Android
852,Android
854,Android
856,Android
863,Android
867,Android
